Time	Desired_X	Desired_Y	Desired_V_head	Desired_V_lat	Desired_Theta	Desired_Theta_dot
1627951167.6	-1.341163	-3.296	0.39471	0.0	3.14159265359	0.0
1627951167.62	-1.348317	-3.296	0.388626	0.0	3.14159265359	0.0
1627951167.64	-1.355493	-3.296	0.388905	0.0	3.14159265359	0.0
1627951167.66	-1.362589	-3.296	0.38682	0.0	3.14159265359	0.0
1627951167.68	-1.369792	-3.296	0.38645	0.0	3.14159265359	0.0
1627951167.7	-1.376933	-3.296	0.388606	0.0	3.14159265359	0.0
1627951167.72	-1.384273	-3.296	0.392475	0.0	3.14159265359	0.0
1627951167.74	-1.391672	-3.296	0.393237	0.0	3.14159265359	0.0
1627951167.76	-1.398821	-3.296	0.379068	0.0	3.14159265359	0.0
1627951167.78	-1.405949	-3.296	0.383978	0.0	3.14159265359	0.0
1627951167.8	-1.413179	-3.296	0.385305	0.0	3.14159265359	0.0
1627951167.82	-1.420208	-3.296	0.378772	0.0	3.14159265359	0.0
1627951167.84	-1.427224	-3.296	0.387364	0.0	3.14159265359	0.0
1627951167.86	-1.434393	-3.296	0.390558	0.0	3.14159265359	0.0
1627951167.88	-1.441849	-3.296	0.394189	0.0	3.14159265359	0.0
1627951167.9	-1.449109	-3.296	0.389458	0.0	3.14159265359	0.0
1627951167.92	-1.456466	-3.296	0.403877	0.0	3.14159265359	0.0
1627951167.94	-1.464024	-3.296	0.406379	0.0	3.14159265359	0.0
1627951167.96	-1.47147	-3.296	0.401733	0.0	3.14159265359	0.0
1627951167.98	-1.478645	-3.296	0.383923	0.0	3.14159265359	0.0
1627951168.0	-1.485996	-3.296	0.398425	0.0	3.14159265359	0.0
1627951168.02	-1.489774	-3.296	0.406913	0.0	3.14159265359	0.0
1627951168.04	-1.489774	-3.296	0.406913	0.0	3.14159265359	0.0
1627951168.06	-1.489774	-3.296	0.406913	0.0	3.14159265359	0.0
1627951168.08	-1.489774	-3.296	0.406913	0.0	3.14159265359	0.0
1627951168.1	-1.489774	-3.296	0.406913	0.0	3.14159265359	0.0
1627951168.12	-1.530856	-3.296	0.394546	0.0	3.14159265359	0.0
1627951168.14	-1.538517	-3.296	0.401348	0.0	3.14159265359	0.0
1627951168.16	-1.546201	-3.296	0.411333	0.0	3.14159265359	0.0
1627951168.18	-1.550054	-3.296	0.407737	0.0	3.14159265359	0.0
1627951168.2	-1.553895	-3.296	0.409798	0.0	3.14159265359	0.0
1627951168.22	-1.553895	-3.296	0.409798	0.0	3.14159265359	0.0
1627951168.24	-1.553895	-3.296	0.409798	0.0	3.14159265359	0.0
1627951168.26	-1.553895	-3.296	0.409798	0.0	3.14159265359	0.0
1627951168.28	-1.553895	-3.296	0.409798	0.0	3.14159265359	0.0
1627951168.3	-1.553895	-3.296	0.409798	0.0	3.14159265359	0.0
1627951168.32	-1.604113	-3.296	0.40478	0.0	3.14159265359	0.0
1627951168.34	-1.604113	-3.296	0.40478	0.0	3.14159265359	0.0
1627951168.36	-1.604113	-3.296	0.40478	0.0	3.14159265359	0.0
1627951168.38	-1.604113	-3.296	0.40478	0.0	3.14159265359	0.0
1627951168.4	-1.604113	-3.296	0.40478	0.0	3.14159265359	0.0
1627951168.42	-1.604113	-3.296	0.40478	0.0	3.14159265359	0.0
1627951168.44	-1.604113	-3.296	0.40478	0.0	3.14159265359	0.0
1627951168.46	-1.658906	-3.296	0.41786	0.0	3.14159265359	0.0
1627951168.48	-1.666813	-3.296	0.417719	0.0	3.14159265359	0.0
1627951168.5	-1.666813	-3.296	0.417719	0.0	3.14159265359	0.0
1627951168.52	-1.666813	-3.296	0.417719	0.0	3.14159265359	0.0
1627951168.54	-1.666813	-3.296	0.417719	0.0	3.14159265359	0.0
1627951168.56	-1.666813	-3.296	0.417719	0.0	3.14159265359	0.0
1627951168.58	-1.666813	-3.296	0.417719	0.0	3.14159265359	0.0
1627951168.6	-1.714056	-3.296	0.417456	0.0	3.14159265359	0.0
1627951168.62	-1.722077	-3.296	0.425575	0.0	3.14159265359	0.0
1627951168.64	-1.722077	-3.296	0.425575	0.0	3.14159265359	0.0
1627951168.66	-1.722077	-3.296	0.425575	0.0	3.14159265359	0.0
1627951168.68	-1.722077	-3.296	0.425575	0.0	3.14159265359	0.0
1627951168.7	-1.722077	-3.296	0.425575	0.0	3.14159265359	0.0
1627951168.73	-1.766273	-3.296	0.418884	0.0	3.14159265359	0.0
1627951168.75	-1.770243	-3.296	0.419864	0.0	3.14159265359	0.0
1627951168.77	-1.786738	-3.296	0.426426	0.0	3.14159265359	0.0
1627951168.8	-1.794819	-3.296	0.417942	0.0	3.14159265359	0.0
1627951168.83	-1.811993144	-3.2956667534	0.428117	0.0	3.00017245653	-2.48565042849
1627951168.85	-1.81907942891	-3.29502447151	0.412936	0.0	2.95727427201	-1.81165581761
1627951168.87	-1.82724975994	-3.29385956047	0.432616	0.0	2.9101365864	-2.50087843474
1627951168.89	-1.83545771821	-3.29222100086	0.434445	0.0	2.85436650446	-2.56136264405
